t [s];T [ºC]
0;25.6
9.8;25.7
12.56;25.8
14.8;25.9
16.23;26
17.61;26.1
18.93;26.2
19.9;26.3
21.23;26.4
22.17;26.5
23.14;26.6
23.96;26.7
24.94;26.8
25.79;26.9
26.76;27
27.64;27.1
28.59;27.2
29.09;27.3
30.4;27.4
30.9;27.5
31.79;27.6
32.7;27.7
33.62;27.8
34.03;27.9
34.97;28
35.88;28.1
36.39;28.2
37.25;28.3
38.19;28.4
38.65;28.5
39.59;28.6
40.32;28.8
41.86;28.9
42.32;29
43.21;29.1
44.14;29.2
44.62;29.3
45.55;29.4
46;29.5
46.26;29.6
46.35;29.5
47.22;29.6
47.35;29.7
48.28;29.8
48.89;29.9
49.66;30
50.55;30.1
51.02;30.2
51.96;30.3
52.85;30.4
53.32;30.5
54.22;30.6
55.12;30.7
55.59;30.8
56.06;30.9
56.99;31
57.89;31.1
58.37;31.3
58.86;31.2
59.24;31.4
60.62;31.5
61.55;31.6
62.46;31.7
62.93;31.8
63.36;31.9
64.75;32.1
66.17;32.3
67.06;32.4
68.43;32.5
68.9;32.7
69.36;32.6
69.83;32.7
70.73;32.8
71.62;32.9
72.15;33
73;33.2
73.44;33.1
73.94;33.2
74.39;33.4
74.86;33.3
75.33;33.5
75.79;33.4
76.23;33.5
76.69;33.6
77.6;33.7
78.05;33.8
79.16;33.9
79.43;34
80.34;34.1
81.7;34.2
82.17;34.3
82.66;34.4
83.1;34.3
83.6;34.4
83.99;34.5
84.93;34.6
86.46;34.8
87.19;34.9
88.13;35
88.6;35.1
89.02;35
89.52;35.2
89.99;35.1
90.43;35.3
92.3;35.5
93.19;35.6
94.1;35.7
94.6;35.6
95.03;35.8
96.33;35.9
96.83;36
97.73;36.1
99.6;36.3
100.49;36.4
100.96;36.3
101.49;36.4
101.86;36.5
102.8;36.6
103.68;36.7
104.65;36.8
105.56;36.9
106;36.8
106.47;36.9
106.91;37
108.24;37.1
108.75;37.2
109.68;37.3
111.94;37.5
112.95;37.6
114.24;37.7
115.14;37.8
115.6;37.7
116.08;37.8
116.54;37.9
117.05;37.8
117.47;37.9
117.91;38
118.36;38.1
119.27;38.2
120.63;38.3
121.59;38.4
122.96;38.5
124.36;38.6
125.17;38.7
126.62;38.8
127.55;38.9
128.91;39
129.79;39.1
131.2;39.2
132.12;39.3
133.95;39.4
135.3;39.5
136.74;39.6
137.6;39.7
138.99;39.8
140.36;39.9
141.72;40
143.05;40.1
144.49;40.2
145.93;40.3
147.22;40.4
149.08;40.5
150.44;40.6
151.85;40.7
153.24;40.8
167.68;41.7
169.06;41.8
170.9;41.9
172.3;42
174.09;42.1
175.94;42.2
178.29;42.3
180.06;42.4
181.45;42.5
183.72;42.6
185.6;42.7
187.83;42.8
190.62;42.9
198.4;42.8
200.66;42.7
202.96;42.6
205.26;42.5
213.02;42
219.03;41.5
224.5;41
229.53;40.5
234.57;40
239.64;39.5
244.68;39
249.22;38.5
254.26;38
259.29;37.5
264.79;37
270.29;36.5
276.72;36
282.23;35.5
287.74;35
293.67;34.5
301.92;34
308.8;33.5
316.6;33
325.72;32.5
335.4;32
345.9;31.5
358.31;31
371.56;30.5
388.1;30
406.88;29.5
429.3;29
456.31;28.5
493.94;28
533.84;27.5
595.7;27
680.92;26.5
770.76;26
