t? [s];T? [ºC];t? [s];T? [ºC];t? [s];T? [ºC];t? [s];T? [ºC]
0;24.9;0;23.7;0;23.9;0;24.3
9.98;24.8;2.07;23.8;2.07;24;9.98;24.3
12.25;24.7;2.54;23.7;2.54;23.9;12.25;24.3
14.11;24.8;10.17;23.8;10.17;24;14.11;24.3
15.91;24.9;11.61;23.7;11.61;23.9;15.91;24.3
17.3;25;12.11;23.8;12.11;23.9;17.3;24.3
18.67;25.1;12.54;23.7;12.54;23.9;18.67;24.3
19.58;25.2;13.05;23.8;13.05;24;19.58;24.4
20.08;25.2;14.44;23.8;14.44;24;20.08;24.3
20.97;25.3;14.94;23.8;14.94;23.9;20.97;24.3
21.87;25.4;15.91;23.9;15.91;24;21.87;24.3
22.34;25.4;18.75;24;18.75;24;22.34;24.4
23.25;25.5;20.17;23.9;20.17;23.9;23.25;24.4
23.74;25.6;20.64;24;20.64;24;23.74;24.4
25.07;25.7;21.64;24.1;21.64;24;25.07;24.4
25.57;25.8;22.11;24;22.11;23.9;25.57;24.4
26.47;25.9;22.58;24.1;22.58;24;26.47;24.4
27.38;26;23.54;24;23.54;23.9;27.38;24.4
28.3;26.1;23.97;24.1;23.97;24.1;28.3;24.4
29.2;26.2;24.47;24.2;24.47;24.1;29.2;24.4
29.67;26.3;25.91;24.3;25.91;24.1;29.67;24.4
30.61;26.4;27.8;24.4;27.8;24.1;30.61;24.4
31.51;26.5;29.28;24.4;29.28;24.2;31.51;24.4
32.43;26.6;29.7;24.5;29.7;24.2;32.43;24.4
32.87;26.7;31.17;24.6;31.17;24.2;32.87;24.4
33.8;26.8;32.58;24.7;32.58;24.2;33.8;24.4
34.24;26.8;33.08;24.7;33.08;24.3;34.24;24.5
34.71;26.9;34.01;24.8;34.01;24.3;34.71;24.5
35.18;27;35.48;24.9;35.48;24.3;35.18;24.5
36.1;27.1;35.95;24.9;35.95;24.4;36.1;24.5
36.54;27.2;36.9;25;36.9;24.4;36.54;24.5
37.47;27.3;38.3;25.1;38.3;24.5;37.47;24.5
37.94;27.4;39.27;25.2;39.27;24.5;37.94;24.5
38.83;27.5;40.7;25.2;40.7;24.6;38.83;24.5
39.3;27.6;41.17;25.3;41.17;24.6;39.3;24.5
40.21;27.7;42.11;25.4;42.11;24.6;40.21;24.6
41.17;27.8;42.58;25.4;42.58;24.7;41.17;24.6
41.61;27.9;43.08;25.5;43.08;24.7;41.61;24.6
