T [ºC];Δl [10¹ μm];Δl [10¹ μm];Δl [10¹ μm];Δl [10¹ μm]
90;78;;55;
89;78;78;54.5;32
88;78;78;54.5;32
87;78;78;54;32
86;78;77.5;54;31.5
85;78;77;53;31
84;78;76;53;30.5
83;77;75;52;30
82;76.5;74.5;51;30
81;76;74;51;29.5
80;75.5;73;50;29
79;75;73;49.5;29
78;75;72;49;28.5
77;74;72;48;28
76;74;71;47.5;28
75;73.5;70.5;47;28
74;73;70;46.5;27.5
73;72.5;69;46;27
72;72;68;45;26.5
71;71.5;67.5;44.5;26
70;71;66.5;43.5;25.5
69;70;65.5;43;25
68;70;65;42;24.5
67;69;64;41;24
66;68.5;63.5;40;23.5
65;68;63;39.5;23
64;68;62;38.5;22
63;67;61;38;21.5
62;66;60;37;21
61;66;59;36;20
60;65;58;35;19.5
59;64.5;57;34;19
58;64;56;33;18
57;63;55;32;17
56;62;54.5;31;16
55;62;54;30;15
54;61;53;29;14.5
53;60.5;52;28;13.5
52;60;51;27;12.5
51;59;50.5;25;12
50;58.5;49.5;24;11
49;58;49;22.5;10
48;57;48;21.5;9.5
47;56;47;20.5;9
46;55.5;46;19.5;8
45;55;45;18.5;
44;54;44;17;
43;53;43.5;16;
42;52;42.5;15;
41;51;41.5;14;
40;50;40.5;13;
