l [cm];T [ºC];T [ºC];T [ºC]
0;22;26.7;26.5
0.1;22.2;27.2;26.9
0.2;22.5;27.7;27.1
0.3;22.9;27.9;27.5
0.4;23.1;28.5;27.9
0.5;23.1;28.9;28.3
0.6;23.4;29;28.7
0.7;23.6;29.3;29.1
0.8;23.8;29.6;29.4
0.9;24;29.9;29.7
1;24.2;30.1;29.8
1.1;24.5;30.1;30
1.2;24.6;30.3;30.4
1.3;24.9;30.9;30.7
1.4;25.2;31.2;30.9
1.5;25.3;31.3;31.3
1.6;25.6;31;31.6
1.7;25.8;31.3;31.8
1.8;26.2;31.7;32.1
1.9;26.3;32;32.4
2;26.7;32.2;32.6
2.1;26.8;32.4;32.8
2.2;27;32.7;32.8
2.3;27.3;33;33.2
2.4;27.5;33.4;33.4
2.5;27.7;33.8;33.5
2.6;27.8;33.9;33.9
2.7;28;34.2;34.3
2.8;28.3;34.5;34.7
2.9;28.6;34.7;35.1
3;28.8;35;35.2
3.1;;35;35.3
3.2;29;34.5;35.4
3.3;29.2;34.8;35.5
3.4;;35;35.5
3.5;29.5;35.3;35.6
3.6;29.8;35.7;35.8
3.7;;35.8;36
3.8;;35.6;36.3
3.9;;35.6;36.5
4;;36.1;36.5
4.1;;36.6;36.8
4.2;;;37.1
4.3;;;37.2
4.4;;;37.3
4.5;;;37.2
4.6;;;37.5
4.7;;;38
4.8;;;38.1
